STOP	2011-01-16	20:49:13
STOP	2011-01-16	20:49:13
STOP	2011-01-16	20:49:13
STOP	2011-01-16	20:49:13
START	2011-01-16	20:49:23
START	2011-01-16	20:49:23
START	2011-01-16	20:49:23
START	2011-01-16	20:49:23
STOP	2011-01-16	20:49:45
STOP	2011-01-16	20:49:45
STOP	2011-01-16	20:49:45
STOP	2011-01-16	20:49:45
START	2011-01-16	20:49:47
START	2011-01-16	20:49:47
START	2011-01-16	20:49:47
START	2011-01-16	20:49:47
STOP	2011-01-16	20:49:53
STOP	2011-01-16	20:49:53
STOP	2011-01-16	20:49:53
STOP	2011-01-16	20:49:53
START	2011-01-16	20:50:03
START	2011-01-16	20:50:03
START	2011-01-16	20:50:03
START	2011-01-16	20:50:03
